Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Distance(mi),Hour_of_Day,Is_Weekend,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Infra_Feature_Count,Severity
49.0,86.0,30.13,10.0,0.0,0.0,0.07,13.0,False,False,False,False,False,False,False,False,False,True,False,False,True,2,2
53.6,72.0,29.95,10.0,5.0,0.0,0.01,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
51.8,88.0,30.12,10.0,5.0,0.0,0.01,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
73.0,41.0,29.76,10.0,12.0,0.0,0.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
86.0,45.0,29.61,10.0,9.0,0.0,0.0,19.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,2
73.0,49.0,29.97,7.0,12.7,0.0,0.01,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
60.0,69.0,30.06,10.0,3.0,0.0,0.0,16.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
52.0,88.0,29.68,7.0,6.0,0.0,0.716,19.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
45.0,71.0,30.26,10.0,3.0,0.0,0.014,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,1,2
55.0,64.0,30.01,10.0,0.0,0.0,0.349,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
75.2,78.0,30.16,7.0,16.1,0.0,0.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
58.5,71.0,29.91,10.0,2.3,0.0,0.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
39.0,96.0,28.94,0.0,0.0,0.0,0.0,7.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
78.0,52.0,29.8,8.0,6.0,0.0,0.102,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
45.0,86.0,30.12,10.0,5.8,0.0,0.01,6.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
66.0,47.0,29.61,10.0,7.0,0.0,4.575,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.2,38.0,30.36,10.0,4.6,0.0,0.0,21.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,3
67.0,63.0,29.32,10.0,8.0,0.0,0.637,22.0,True,False,False,False,False,True,False,False,False,False,False,False,False,1,2
69.1,54.0,29.85,10.0,3.5,0.0,0.001,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
51.0,77.0,29.11,10.0,0.0,0.0,0.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
75.9,43.0,29.88,10.0,16.1,0.0,0.454,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
44.0,93.0,29.93,10.0,5.0,0.0,0.297,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
75.2,94.0,30.01,7.0,5.8,0.0,0.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
59.0,72.0,29.88,10.0,10.0,0.0,0.121,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
60.1,100.0,29.92,1.8,12.7,0.02,0.648,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.0,26.0,29.48,10.0,0.0,0.0,0.0,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
78.0,81.0,29.89,10.0,9.0,0.0,0.335,13.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
55.0,89.0,30.1,10.0,4.6,0.0,0.0,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
53.1,71.0,30.1,10.0,7.0,0.0,0.01,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
78.1,40.0,29.92,10.0,21.9,0.0,0.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
50.0,71.0,30.11,10.0,0.0,0.0,0.0,5.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
77.0,69.0,29.8,10.0,7.0,0.0,0.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
49.0,71.0,29.82,8.0,9.0,0.05,0.0,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
66.2,88.0,30.09,13.0,10.4,0.0,0.01,8.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
69.1,42.0,29.99,10.0,3.5,0.0,0.01,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
99.0,21.0,29.69,10.0,5.0,0.0,0.0,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
84.0,54.0,28.41,10.0,7.0,0.0,0.084,12.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
95.0,44.0,29.23,10.0,13.0,0.0,2.7430000000000003,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
56.0,59.0,26.04,10.0,5.8,0.0,0.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
72.0,73.0,29.91,6.0,5.8,0.0,0.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
79.0,77.0,29.81,10.0,16.0,0.0,0.94,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
62.0,67.0,29.89,5.0,0.0,0.0,0.469,3.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
96.0,38.0,28.67,10.0,6.0,0.0,0.056,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
73.0,7.0,29.33,10.0,6.0,0.0,0.008,10.0,True,False,False,False,False,False,False,False,False,False,False,False,True,1,2
57.0,82.0,29.9,10.0,8.0,0.0,0.024,8.0,False,True,False,False,False,False,False,False,False,False,False,False,False,1,2
40.0,89.0,30.09,10.0,3.0,0.0,0.296,23.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
59.0,21.0,29.66,10.0,6.0,0.0,0.831,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
59.0,41.0,30.0,10.0,0.0,0.0,0.374,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
76.0,27.0,29.72,10.0,6.0,0.0,0.108,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.0,100.0,29.74,1.0,20.0,0.07,0.077,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
74.0,26.0,29.6,10.0,8.0,0.0,2.932,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
64.9,68.0,29.88,10.0,8.1,0.0,0.01,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
56.0,25.0,30.12,10.0,12.0,0.0,1.71,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
55.0,72.0,29.93,10.0,0.0,0.0,0.0,10.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,1
93.0,9.0,29.86,10.0,0.0,0.0,0.19,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
70.0,53.0,29.95,10.0,4.6,0.0,0.01,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
83.0,19.0,29.47,10.0,6.0,0.0,0.496,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
53.6,72.0,30.03,7.0,5.0,0.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
55.4,82.0,30.06,10.0,8.1,0.0,0.0,6.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,3
57.2,77.0,29.96,10.0,11.5,0.0,0.01,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
44.0,85.0,29.77,4.0,3.0,0.0,0.086,4.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
68.0,52.0,29.95,10.0,24.2,0.0,0.0,16.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,3
58.0,90.0,29.48,2.0,6.0,0.0,0.0,7.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
53.0,89.0,29.01,5.0,10.0,0.12,0.926,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
64.9,68.0,30.03,10.0,15.0,0.0,0.858,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
77.0,18.0,29.95,10.0,5.0,0.0,0.5529999999999999,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.0,67.0,30.04,10.0,12.7,0.0,0.01,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
72.0,61.0,29.72,10.0,9.0,0.0,0.716,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
78.0,35.0,29.06,10.0,9.0,0.0,0.0,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
93.9,47.0,30.01,10.0,6.9,0.0,0.759,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
112.0,8.0,29.3,10.0,5.0,0.0,0.118,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
71.6,64.0,30.14,10.0,11.5,0.0,0.01,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
39.0,62.0,29.95,10.0,0.0,0.0,0.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
88.0,15.0,28.95,10.0,12.0,0.0,0.0,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
61.0,62.0,29.94,10.0,3.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
77.0,88.0,29.98,5.0,9.0,0.2,0.647,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
56.0,75.0,29.61,10.0,0.0,0.0,5.065,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
59.0,88.0,29.92,10.0,3.5,0.0,0.0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
47.0,80.0,29.94,7.0,3.0,0.07,0.0,20.0,True,False,False,True,False,False,False,False,False,False,True,False,False,2,2
86.0,55.0,29.9,10.0,6.9,0.0,0.01,13.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
57.0,63.0,29.02,10.0,6.0,0.0,0.0,15.0,True,False,False,False,False,False,False,False,False,False,True,False,False,1,2
63.0,67.0,30.14,10.0,3.0,0.0,0.0,18.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
54.0,86.0,30.04,2.0,7.0,0.05,0.22,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
76.0,56.0,29.7,10.0,8.0,0.0,0.8079999999999999,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.9,67.0,30.11,10.0,12.7,0.0,0.01,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
63.0,52.0,29.8,10.0,8.0,0.0,0.0,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
72.0,35.0,29.8,10.0,6.0,0.0,0.097,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
76.0,58.0,29.82,10.0,3.0,0.0,0.032,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.2,77.0,30.25,9.0,5.8,0.0,0.0,8.0,False,False,False,True,False,False,False,False,False,False,False,False,False,1,3
49.0,90.0,29.76,5.0,0.0,0.1,0.073,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
70.0,68.0,30.08,10.0,3.5,0.0,0.0,8.0,True,False,False,False,False,True,False,False,False,False,False,False,False,1,2
59.0,59.0,30.08,10.0,5.8,0.0,0.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
99.0,26.0,28.99,10.0,8.0,0.0,0.151,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
64.0,67.0,29.69,10.0,7.0,0.0,0.602,18.0,True,False,False,False,False,False,False,False,False,True,True,False,False,2,2
77.0,58.0,29.84,10.0,13.0,0.0,0.021,16.0,False,False,False,False,False,True,False,False,False,False,False,False,True,2,2
75.0,37.0,30.08,8.0,7.0,0.0,0.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
82.0,41.0,29.97,10.0,0.0,0.0,1.461,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
68.0,73.0,30.01,10.0,18.0,0.0,0.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
52.0,69.0,30.1,10.0,5.0,0.0,0.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
52.0,50.0,30.32,10.0,9.2,0.0,0.01,11.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
71.0,34.0,29.24,10.0,24.0,0.0,0.04,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
66.2,60.0,29.97,10.0,6.9,0.0,0.216,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
67.0,55.0,28.33,10.0,7.0,0.0,3.752,16.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
91.4,43.0,29.96,12.0,10.4,0.0,0.0,15.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
91.9,29.0,29.79,10.0,11.5,0.0,0.0,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
64.0,78.0,29.89,10.0,7.5,0.0,2.268,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
72.0,83.0,29.07,10.0,7.0,0.0,0.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
69.0,49.0,29.9,10.0,6.0,0.0,1.964,14.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
32.0,100.0,23.9,0.5,0.0,0.0,4.978,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
45.0,100.0,28.44,4.0,0.0,0.0,0.1,13.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,2
69.1,81.0,29.97,7.0,6.9,0.0,0.0,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,3
62.0,86.0,29.68,10.0,0.0,0.0,0.056,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
84.0,66.0,29.17,10.0,8.0,0.0,1.035,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
62.1,60.0,29.95,10.0,16.1,0.0,0.01,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
86.0,72.0,29.21,10.0,0.0,0.0,0.198,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
70.0,81.0,29.93,10.0,3.5,0.0,0.47,23.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
82.0,19.0,29.99,10.0,0.0,0.0,0.494,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
66.0,32.0,30.11,10.0,7.0,0.0,0.9,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
70.0,68.0,29.96,10.0,11.5,0.0,0.405,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.0,21.0,28.81,10.0,0.0,0.0,0.027,20.0,True,False,False,False,False,False,False,False,False,False,False,False,True,1,2
77.0,71.0,30.15,10.0,12.7,0.0,0.95,9.0,True,False,False,False,False,True,False,False,False,False,False,False,False,1,3
50.0,87.0,28.52,10.0,8.0,0.03,0.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
86.0,62.0,29.93,10.0,4.6,0.0,0.0,19.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
80.0,27.0,29.78,10.0,0.0,0.0,0.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
59.0,67.0,30.09,7.0,5.0,0.0,0.01,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
73.0,42.0,28.31,10.0,0.0,0.0,0.139,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
61.0,67.0,29.67,8.0,10.0,0.0,0.0,15.0,True,False,False,False,False,True,False,False,False,False,False,False,False,1,2
66.0,68.0,29.33,10.0,9.0,0.0,0.0,19.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
84.0,28.0,29.88,10.0,8.0,0.0,0.01,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
60.0,21.0,29.72,10.0,6.0,0.0,2.529,6.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
90.0,50.0,29.74,10.0,5.8,0.0,0.0,14.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
59.0,63.0,29.95,10.0,4.6,0.0,0.005,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
55.0,82.0,30.15,10.0,0.0,0.0,0.341,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
73.0,12.0,29.6,10.0,7.0,0.0,0.074,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
60.1,86.0,29.94,8.0,9.2,0.0,0.0,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
77.0,24.0,28.65,7.0,7.0,0.0,0.0,20.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
60.0,49.0,29.84,10.0,9.0,0.0,0.0,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
54.0,100.0,30.08,0.0,3.0,0.0,0.054,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
70.0,31.0,28.9,8.0,5.0,0.0,0.455,2.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
75.0,73.0,29.92,10.0,4.6,0.0,0.0,15.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
51.0,89.0,29.09,4.0,7.0,0.03,0.0,18.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
71.6,94.0,30.26,13.0,4.6,0.0,0.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
50.0,83.0,29.83,10.0,0.0,0.0,0.081,20.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
59.0,34.0,30.1,10.0,8.0,0.0,0.245,14.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,2
45.0,68.0,29.94,10.0,0.0,0.0,2.768,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
83.0,69.0,29.96,10.0,13.0,0.0,0.287,11.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
68.0,30.0,29.32,10.0,5.0,0.0,0.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
70.0,33.0,26.17,10.0,6.0,0.0,0.0,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
69.0,68.0,29.72,10.0,0.0,0.0,0.0,8.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
65.0,61.0,29.77,10.0,8.0,0.0,0.453,11.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
80.0,52.0,29.65,10.0,6.0,0.0,0.077,14.0,False,True,False,False,False,False,False,False,False,False,False,False,True,2,2
47.0,93.0,29.65,10.0,0.0,0.0,0.096,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
81.0,48.0,28.87,6.0,10.0,0.0,0.0,19.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
72.0,7.0,30.0,10.0,18.0,0.0,0.0,15.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
64.0,63.0,30.03,10.0,8.0,0.0,0.286,7.0,False,False,False,False,False,False,False,False,False,True,False,False,False,1,4
73.9,50.0,30.16,8.0,5.8,0.0,0.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
68.0,17.0,29.11,10.0,8.0,0.0,0.0,15.0,False,False,False,False,False,False,False,False,False,False,True,False,False,1,2
59.0,77.0,29.89,10.0,7.5,0.0,0.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
58.0,87.0,29.79,1.0,3.0,0.13,0.0,11.0,False,False,False,False,False,False,False,True,False,True,False,False,False,2,2
66.0,73.0,29.86,10.0,6.0,0.0,0.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
86.0,46.0,29.77,10.0,6.0,0.0,0.046,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
64.0,59.0,29.67,40.0,5.0,0.0,0.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
57.0,88.0,28.82,10.0,0.0,0.0,0.0,4.0,True,False,False,False,False,False,False,False,False,False,True,False,False,1,3
70.0,68.0,29.94,10.0,6.9,0.0,0.0,13.0,True,False,False,False,False,True,False,False,False,False,False,False,True,2,3
68.0,59.0,29.82,10.0,12.7,0.0,0.417,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
70.0,28.0,30.06,10.0,8.0,0.0,0.064,12.0,False,False,False,True,False,False,False,False,False,False,False,False,True,2,2
84.0,69.0,29.91,10.0,9.0,0.0,1.7080000000000002,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
99.0,18.0,29.79,10.0,8.0,0.0,0.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
53.1,80.0,30.17,10.0,6.9,0.0,0.209,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
57.2,67.0,30.15,10.0,4.6,0.0,0.449999988079071,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
50.0,46.0,27.28,10.0,6.0,0.0,2.083,6.0,False,False,False,False,False,True,False,False,False,False,False,False,False,1,2
81.0,16.0,29.69,10.0,33.4,0.0,0.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
52.0,93.0,29.83,7.0,3.0,0.0,0.0,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
39.0,81.0,24.93,3.0,14.0,0.0,3.205,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
77.0,50.0,29.87,10.0,16.1,0.0,0.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
62.0,60.0,29.94,7.0,4.6,0.0,0.01,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
90.0,20.0,29.3,10.0,6.0,0.0,0.239,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
54.0,58.0,30.02,10.0,8.0,0.0,0.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
63.0,70.0,29.05,5.0,3.0,0.0,0.103,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
46.0,66.0,24.33,10.0,0.0,0.0,0.039,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
72.0,94.0,29.78,10.0,5.0,0.0,1.281,13.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
71.0,29.0,29.75,10.0,3.0,0.0,0.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
65.0,29.0,30.35,10.0,6.0,0.0,0.038,13.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
88.0,28.0,29.85,10.0,14.0,0.0,0.907,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2
61.0,63.0,29.69,10.0,21.0,0.0,0.0,16.0,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2
85.0,41.0,29.77,10.0,5.0,0.0,0.0,12.0,True,False,False,False,False,False,False,False,False,True,False,False,True,2,2
59.0,87.0,28.98,6.0,6.0,0.0,0.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
77.0,60.0,29.81,10.0,3.5,0.0,0.0,12.0,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2
63.0,50.0,29.97,10.0,7.5,0.0,0.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3
60.8,94.0,30.08,2.0,3.5,0.0,0.187,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,4
